Year,Month,net_pnl
2023,Aug,28595.804750001043
2023,Dec,-6172.14249999967
2023,Jul,9426.960499999623
2023,Jun,18880.228999999857
2023,May,141.81799999924405
2023,Nov,33687.23899999962
2023,Oct,-6685.481500001184
2023,Sep,27264.12850000085
2024,Apr,-34334.8690000019
2024,Aug,91501.48824999863
2024,Dec,279323.61125000194
2024,Feb,66387.20324999787
2024,Jan,64574.877249999765
2024,Jul,228536.01874999976
2024,Jun,591271.6829999989
2024,Mar,33579.14249999858
2024,May,184774.40575000137
2024,Nov,61331.506000002446
2024,Oct,-6686.239000001831
2024,Sep,87029.48200000005
2025,Apr,1536361.910500002
2025,Aug,12474.903750002173
2025,Feb,12125.44850000241
2025,Jan,24653.79300000223
2025,Jul,-7089.049750001039
2025,Jun,105855.32574999909
2025,Mar,47605.22174999806
2025,May,47939.29674999867
2025,Nov,138943.6272500018
2025,Oct,195398.24600000202
2026,Feb,-206604.95849999844
2026,Jan,269614.5354999993
